name,star,time
肖申克的救赎,9.7,
霸王别姬,9.6,
阿甘正传,9.5,
泰坦尼克号,9.5,
这个杀手不太冷,9.4,
美丽人生,9.6,
千与千寻,9.4,
辛德勒的名单,9.6,
盗梦空间,9.4,
星际穿越,9.4,
楚门的世界,9.4,
忠犬八公的故事,9.4,
海上钢琴师,9.3,
三傻大闹宝莱坞,9.2,
放牛班的春天,9.3,
机器人总动员,9.3,
无间道,9.3,
疯狂动物城,9.2,
控方证人,9.6,
大话西游之大圣娶亲,9.2,
熔炉,9.4,
教父,9.3,
当幸福来敲门,9.2,
触不可及,9.3,
怦然心动,9.1,
龙猫,9.2,
末代皇帝,9.3,
寻梦环游记,9.1,
活着,9.3,
蝙蝠侠：黑暗骑士,9.2,
哈利·波特与魔法石,9.2,
指环王3：王者无敌,9.3,
乱世佳人,9.3,
素媛,9.3,
飞屋环游记,9.1,
我不是药神,9.0,
何以为家,9.1,
十二怒汉,9.4,
摔跤吧！爸爸,9.0,
哈尔的移动城堡,9.1,
鬼子来了,9.3,
少年派的奇幻漂流,9.1,
猫鼠游戏,9.1,
让子弹飞,9.0,
大话西游之月光宝盒,9.0,
钢琴家,9.3,
海蒂和爷爷,9.3,
天空之城,9.2,
指环王2：双塔奇兵,9.2,
闻香识女人,9.1,
天堂电影院,9.2,
罗马假日,9.1,
大闹天宫,9.4,
死亡诗社,9.2,
绿皮书,8.9,
指环王1：护戒使者,9.1,
黑客帝国,9.1,
教父2,9.3,
狮子王,9.1,
辩护人,9.2,
饮食男女,9.2,
搏击俱乐部,9.0,
美丽心灵,9.1,
本杰明·巴顿奇事,9.0,
穿条纹睡衣的男孩,9.2,
窃听风暴,9.2,
情书,8.9,
两杆大烟枪,9.1,
西西里的美丽传说,8.9,
音乐之声,9.1,
看不见的客人,8.8,
拯救大兵瑞恩,9.1,
阿凡达,8.8,
飞越疯人院,9.1,
小鞋子,9.2,
哈利·波特与死亡圣器(下),9.0,
沉默的羔羊,8.9,
禁闭岛,8.9,
布达佩斯大饭店,8.9,
致命魔术,8.9,
蝴蝶效应,8.9,
海豚湾,9.3,
心灵捕手,8.9,
美国往事,9.2,
低俗小说,8.9,
功夫,8.8,
摩登时代,9.3,
春光乍泄,9.0,
哈利·波特与阿兹卡班的囚徒,8.9,
喜剧之王,8.8,
超脱,9.0,
七宗罪,8.8,
致命ID,8.9,
杀人回忆,8.9,
红辣椒,9.1,
加勒比海盗,8.8,
狩猎,9.1,
被嫌弃的松子的一生,8.9,
哈利·波特与密室,8.8,
7号房的礼物,8.9,
请以你的名字呼唤我,8.9,
一一,9.1,
唐伯虎点秋香,8.7,
断背山,8.8,
剪刀手爱德华,8.7,
勇敢的心,8.9,
入殓师,8.9,
爱在黎明破晓前,8.8,
第六感,8.9,
重庆森林,8.8,
蝙蝠侠：黑暗骑士崛起,8.8,
幽灵公主,8.9,
菊次郎的夏天,8.9,
超能陆战队,8.7,
天使爱美丽,8.7,
爱在日落黄昏时,8.9,
阳光灿烂的日子,8.9,
小森林 夏秋篇,9.0,
完美的世界,9.1,
甜蜜蜜,8.9,
无人知晓,9.1,
借东西的小人阿莉埃蒂,8.9,
消失的爱人,8.7,
倩女幽魂,8.8,
小森林 冬春篇,9.0,
侧耳倾听,8.9,
时空恋旅人,8.8,
幸福终点站,8.8,
寄生虫,8.8,
驯龙高手,8.8,
萤火之森,8.9,
教父3,9.0,
一个叫欧维的男人决定去死,8.9,
怪兽电力公司,8.8,
未麻的部屋,9.1,
玩具总动员3,8.9,
傲慢与偏见,8.7,
哈利·波特与火焰杯,8.8,
玛丽和马克思,8.9,
釜山行,8.6,
神偷奶爸,8.6,
被解救的姜戈,8.8,
告白,8.8,
大鱼,8.8,
新世界,8.9,
哪吒闹海,9.2,
射雕英雄传之东成西就,8.7,
阳光姐妹淘,8.8,
我是山姆,9.0,
头号玩家,8.7,
模仿游戏,8.8,
恐怖直播,8.7,
喜宴,9.0,
血战钢锯岭,8.7,
七武士,9.3,
花样年华,8.7,
九品芝麻官,8.7,
头脑特工队,8.8,
黑客帝国3：矩阵革命,8.8,
色，戒,8.6,
惊魂记,9.0,
茶馆,9.5,
电锯惊魂,8.7,
你的名字。,8.5,
三块广告牌,8.7,
达拉斯买家俱乐部,8.8,
疯狂原始人,8.7,
卢旺达饭店,8.9,
心迷宫,8.7,
上帝之城,9.0,
谍影重重3,8.8,
英雄本色,8.6,
风之谷,8.9,
纵横四海,8.8,
海街日记,8.8,
绿里奇迹,8.9,
爱在午夜降临前,8.9,
记忆碎片,8.7,
岁月神偷,8.7,
忠犬八公物语,9.2,
荒蛮故事,8.8,
疯狂的石头,8.6,
爆裂鼓手,8.7,
小偷家族,8.7,
无敌破坏王,8.7,
雨中曲,9.1,
贫民窟的百万富翁,8.6,
冰川时代,8.6,
东邪西毒,8.6,
2001太空漫游,8.9,
恐怖游轮,8.5,
无间道2,8.7,
背靠背，脸对脸,9.5,
真爱至上,8.6,
小丑,8.7,
你看起来好像很好吃,8.9,
遗愿清单,8.7,
牯岭街少年杀人事件,8.9,
黑天鹅,8.6,
魔女宅急便,8.7,
东京教父,9.0,
大佛普拉斯,8.7,
可可西里,8.9,
心灵奇旅,8.7,
城市之光,9.3,
雨人,8.7,
恋恋笔记本,8.6,
源代码,8.5,
初恋这件小事,8.5,
海边的曼彻斯特,8.6,
虎口脱险,8.9,
人工智能,8.7,
萤火虫之墓,8.7,
波西米亚狂想曲,8.6,
青蛇,8.6,
罗生门,8.8,
终结者2：审判日,8.8,
疯狂的麦克斯4：狂暴之路,8.7,
新龙门客栈,8.7,
奇迹男孩,8.6,
二十二,8.7,
千钧一发,8.8,
无耻混蛋,8.6,
崖上的波妞,8.6,
彗星来的那一夜,8.5,
房间,8.8,
血钻,8.7,
黑客帝国2：重装上阵,8.7,
步履不停,8.8,
魂断蓝桥,8.8,
战争之王,8.7,
末路狂花,8.9,
爱乐之城,8.4,
花束般的恋爱,8.6,
火星救援,8.5,
谍影重重2,8.7,
千年女优,8.8,
燃情岁月,8.8,
哈利·波特与死亡圣器(上),8.5,
芙蓉镇,9.2,
阿飞正传,8.5,
谍影重重,8.6,
再次出发之纽约遇见你,8.6,
弱点,8.7,
朗读者,8.6,
海洋,9.1,
香水,8.5,
穿越时空的少女,8.6,
我爱你,9.0,
地球上的星星,8.9,
